cik,ticker,name,sic,sic_desc,city,state,zip
0001045810,NVDA,NVIDIA CORP,3674,Semiconductors & Related Devices,SANTA CLARA,CA,95051
0000320193,AAPL,Apple Inc.,3571,Electronic Computers,CUPERTINO,CA,95014
0001652044,GOOGL,Alphabet Inc.,7370,"Services-Computer Programming, Data Processing, Etc.",MOUNTAIN VIEW,CA,94043
0000789019,MSFT,MICROSOFT CORP,7372,Services-Prepackaged Software,REDMOND,WA,98052
0001018724,AMZN,AMAZON COM INC,5961,Retail-Catalog & Mail-Order Houses,SEATTLE,WA,98109
0001730168,AVGO,Broadcom Inc.,3674,Semiconductors & Related Devices,PALO ALTO,CA,94304
0001326801,META,"Meta Platforms, Inc.",7370,"Services-Computer Programming, Data Processing, Etc.",MENLO PARK,CA,94025
0001318605,TSLA,"Tesla, Inc.",3711,Motor Vehicles & Passenger Car Bodies,AUSTIN,TX,78725
0000059478,LLY,ELI LILLY & Co,2834,Pharmaceutical Preparations,INDIANAPOLIS,IN,46285
0001067983,BRK-B,BERKSHIRE HATHAWAY INC,6331,"Fire, Marine & Casualty Insurance",OMAHA,NE,68131
0000019617,JPM,JPMORGAN CHASE & CO,6021,National Commercial Banks,NEW YORK,NY,10017
0000104169,WMT,Walmart Inc.,5331,Retail-Variety Stores,BENTONVILLE,AR,72716
0000002488,AMD,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,SANTA CLARA,CA,95054
0002115436,XOM,ExxonMobil Holdings Corp,2911,Petroleum Refining,SPRING,TX,77389
0001403161,V,VISA INC.,7389,"Services-Business Services, NEC",SAN FRANCISCO,CA,94128
0000937966,ASML,ASML HOLDING NV,3559,"Special Industry Machinery, NEC",DR VELDHOVEN,P7,5504
0000200406,JNJ,JOHNSON & JOHNSON,2834,Pharmaceutical Preparations,NEW BRUNSWICK,NJ,08933
0001141391,MA,Mastercard Inc,7389,"Services-Business Services, NEC",PURCHASE,NY,10577
