accession,label,offset,ar
0000950170-25-112645,PRESENTATION,-10,-0.01962583441482966
0000950170-25-112645,PRESENTATION,-9,-0.04636341488864765
0000950170-25-112645,PRESENTATION,-8,0.010686974210650173
0000950170-25-112645,PRESENTATION,-7,-0.015443426807184898
0000950170-25-112645,PRESENTATION,-6,-0.06975352250597598
0000950170-25-112645,PRESENTATION,-5,0.048510973301730556
0000950170-25-112645,PRESENTATION,-4,-0.05998756635730016
0000950170-25-112645,PRESENTATION,-3,-0.060508877930792626
0000950170-25-112645,PRESENTATION,-2,-0.015474581277582423
0000950170-25-112645,PRESENTATION,-1,0.0761694878434356
0000950170-25-112645,PRESENTATION,0,-0.08397167409468677
0000950170-25-112645,PRESENTATION,1,0.02702887143404107
0000950170-25-112645,PRESENTATION,2,0.01605438345901389
0000950170-25-112645,PRESENTATION,3,-0.050057147384552414
0000950170-25-112645,PRESENTATION,4,-0.03873150117960623
0000950170-25-112645,PRESENTATION,5,0.007294038822566171
0000950170-25-112645,PRESENTATION,6,-0.03705965528984469
0000950170-25-112645,PRESENTATION,7,0.10261427121463317
0000950170-25-112645,PRESENTATION,8,0.15122013477567273
0000950170-25-112645,PRESENTATION,9,0.032367991304154846
0000950170-25-112645,PRESENTATION,10,0.07024600851254988
0001193125-25-234722,REGULATORY,-10,0.04812806414065755
0001193125-25-234722,REGULATORY,-9,0.038257488424007294
0001193125-25-234722,REGULATORY,-8,0.0317363239841757
0001193125-25-234722,REGULATORY,-7,-0.03198663913145313
0001193125-25-234722,REGULATORY,-6,0.10382035073054753
0001193125-25-234722,REGULATORY,-5,0.04467258739947555
0001193125-25-234722,REGULATORY,-4,0.04746362536739263
0001193125-25-234722,REGULATORY,-3,0.05707219223023516
0001193125-25-234722,REGULATORY,-2,0.02702030509999439
0001193125-25-234722,REGULATORY,-1,-0.022317927462688243
0001193125-25-234722,REGULATORY,0,-0.026635196627177234
0001193125-25-234722,REGULATORY,1,0.01529299145155634
0001193125-25-234722,REGULATORY,2,-0.11825913552241103
0001193125-25-234722,REGULATORY,3,0.01782264307960302
0001193125-25-234722,REGULATORY,4,-0.06627538697353982
0001193125-25-234722,REGULATORY,5,-0.03542469731630235
0001193125-25-234722,REGULATORY,6,-0.0427173605417234
0001193125-25-234722,REGULATORY,7,-0.05318044146440014
0001193125-25-234722,REGULATORY,8,-0.024788581236486147
0001193125-25-234722,REGULATORY,9,-0.07499733020199113
0001193125-25-234722,REGULATORY,10,-0.01713277558557072
0001193125-25-264748,CLINICAL,-10,-0.07653653076329
0001193125-25-264748,CLINICAL,-9,-0.018258688508414143
0001193125-25-264748,CLINICAL,-8,-0.0238768710641869
0001193125-25-264748,CLINICAL,-7,0.07805474180151897
0001193125-25-264748,CLINICAL,-6,0.023187594467665478
0001193125-25-264748,CLINICAL,-5,-0.044846662060154155
0001193125-25-264748,CLINICAL,-4,-0.07475120656549339
0001193125-25-264748,CLINICAL,-3,0.017897145788043155
0001193125-25-264748,CLINICAL,-2,-0.030444829999895666
0001193125-25-264748,CLINICAL,-1,-0.04243831561668739
0001193125-25-264748,CLINICAL,0,0.06711150637895912
0001193125-25-264748,CLINICAL,1,-0.047022817579459364
0001193125-25-264748,CLINICAL,2,0.026061367411036363
0001193125-25-264748,CLINICAL,3,0.010479314079313611
0001193125-25-264748,CLINICAL,4,0.05650294141950124
0001193125-25-264748,CLINICAL,5,-0.030609965468600977
0001193125-25-264748,CLINICAL,6,0.03223797087486702
0001193125-25-264748,CLINICAL,7,-0.08645140239487557
0001193125-25-264748,CLINICAL,8,0.05561054517736602
0001193125-25-264748,CLINICAL,9,-0.04005667191551349
0001193125-25-264748,CLINICAL,10,0.05820653369885228
0001193125-25-267402,PRESENTATION,-10,-0.018657159845646677
0001193125-25-267402,PRESENTATION,-9,-0.02425681481575861
0001193125-25-267402,PRESENTATION,-8,0.07770474879851323
0001193125-25-267402,PRESENTATION,-7,0.022762072934450137
