accession,ticker,name,label,t0,alpha,beta,resid_sd,n_est,ar0,car_leak,car_leak_n,car_event,car_event_n,car_drift,car_drift_n,car_aux,car_aux_n
0000950170-25-112645,AARD,"Aardvark Therapeutics, Inc.",PRESENTATION,2025-09-03,0.0004965663195255941,1.2410157837757705,0.07216308233881398,107,-0.08397167409468677,-0.22795927666993265,9,-0.0569428026606457,2,0.25394852423458736,9,0.019226685182789895,3
0001193125-25-234722,AARD,"Aardvark Therapeutics, Inc.",REGULATORY,2025-10-09,-0.0012512657594991568,1.2554904117067198,0.0696070116999575,133,-0.026635196627177234,0.3661842982450327,9,-0.011342205175620894,2,-0.41495306576282176,9,-0.03366013263830914,3
0001193125-25-264748,AARD,"Aardvark Therapeutics, Inc.",CLINICAL,2025-11-05,9.486503455261941e-05,1.2183545240811913,0.06854514255102005,152,0.06711150637895912,-0.14957530690420665,9,0.02008868879949975,2,0.08198063288194649,9,-0.02234962681718764,3
0001193125-25-267402,AARD,"Aardvark Therapeutics, Inc.",PRESENTATION,2025-11-06,0.0005423306390928666,1.2100924988647506,0.06853733113055033,153,-0.047558928708449785,-0.11941057599011254,9,-0.021936893159725718,2,-0.028329076448102813,9,0.04475577947021328,3
0001193125-25-280235,AARD,"Aardvark Therapeutics, Inc.",EARNINGS,2025-11-14,0.0019494328063311807,1.2159951082805505,0.0680379472637809,159,-0.08830635669646907,0.010858151548094053,9,-0.03457236042841397,2,-0.11827033106444185,9,-0.004228109250188454,3
0001193125-25-314364,AARD,"Aardvark Therapeutics, Inc.",OTHER,2025-12-11,0.0003366190932385575,1.1636437992083866,0.06650081799989127,177,0.11355068810437353,0.40487345800801827,9,0.050133022188121004,2,-0.07114331727527172,9,0.0632623974188741,3
0001564590-19-004478,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2019-02-27,-0.00012724139448934296,1.9876323591620164,0.04854520479583375,220,0.08459735722569983,0.041169103065321656,9,0.1264210868433109,2,0.016540297432203855,9,0.11997079227002402,3
0001193125-19-064601,ACAD,ACADIA PHARMACEUTICALS INC,OTHER,2019-03-06,0.00042668892976098873,1.8400585190346375,0.046958755184466995,220,-0.027166084311866248,0.1469604037836109,9,-0.022336935186088758,2,-0.021361284042863336,9,-0.027337781998546147,3
0001564590-19-014817,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2019-05-02,0.002188177457255466,1.9938375128514203,0.04067779841913215,220,0.07988527333693024,-0.09916062107882569,9,0.09818161292931485,2,-0.007548175301355743,9,0.09476382271413003,3
0001564590-19-027482,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2019-08-01,0.0026857244243926165,2.005287345283044,0.03851790088292988,220,0.1811717429322204,-0.05257069071243357,9,0.19567790137141994,2,0.038817616742462556,9,0.19813069596756136,3
0001193125-19-240440,ACAD,ACADIA PHARMACEUTICALS INC,CLINICAL,2019-09-09,0.002448732115466984,2.001394792862648,0.03893782575860618,220,0.6288964728167938,-0.22982250297102635,9,0.6879210289924497,2,-0.015604407431594292,9,0.6545639101205777,3
0001193125-19-248388,ACAD,ACADIA PHARMACEUTICALS INC,OTHER,2019-09-19,0.0037605071852293615,1.858854146323026,0.04081749619989848,220,-0.015021957266590396,0.6132512809246834,9,-0.0325523374155913,2,-0.04140751595361994,9,-0.047753465842293945,3
0001564590-19-038793,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2019-10-31,0.003977129045647442,1.570099328204697,0.05602736133109399,220,-0.014661510387679447,0.0002393868746596601,9,-0.019272437083170925,2,0.005932891928456509,9,-0.009371704048111176,3
0001193125-20-005813,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2020-01-13,0.0038873415114889396,1.0182061550185468,0.05221097444408983,220,-0.08692891386410659,-0.030016843270176796,9,-0.035436157636686,2,-0.08864562449426344,9,-0.04385267290333896,3
0001564590-20-006884,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2020-02-27,0.002455474209919685,0.9340831715225795,0.05348614736241944,220,0.011648924957471274,-0.029404468100550866,9,0.1062128749806515,2,-0.044049138130815485,9,0.09612828923554713,3
0001564590-20-022914,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2020-05-08,0.0034201578870153276,0.8045334789050155,0.05425051464341808,220,0.011237104334612683,-0.060254110955504654,9,0.01100354761390194,2,-0.025921053221387283,9,0.021951583836972887,3
0001193125-20-195481,ACAD,ACADIA PHARMACEUTICALS INC,REGULATORY,2020-07-21,0.004096607436226735,0.8508839937299912,0.05351373355559784,220,-0.1995193175541715,-0.021643490593833144,9,-0.24806549567689748,2,-0.02957904825377932,9,-0.2508523524333023,3
0001564590-20-036866,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2020-08-06,0.0034122828486784877,0.8650686739030462,0.05232557584161663,220,0.008533277206739411,-0.023562337185470742,9,-0.016128095683751287,2,-0.12352778406074633,9,-0.03984902258393498,3
0001193125-20-229278,ACAD,ACADIA PHARMACEUTICALS INC,OTHER,2020-08-25,0.0035290177763842804,0.870876100374293,0.05274802298953405,220,0.0031604420126400117,-0.11562140850474174,9,-0.027343300784447258,2,-0.0048109236219521755,9,-0.04804782141866787,3
0001564590-20-050530,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2020-11-05,0.0001571889208124467,0.8469792869325926,0.03219955011969021,220,-0.02827754429469743,0.14411702346415445,9,0.005325410635953393,2,0.04892333267861526,9,0.04053071739915182,3
0001564590-21-008087,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2021-02-25,0.0009241324957070117,0.8183394951584712,0.028815523068466905,220,-0.009548248729620169,-0.01496907484881315,9,0.028831985695533215,2,-0.4814774581120384,9,-0.0022193445893549796,3
0001193125-21-073270,ACAD,ACADIA PHARMACEUTICALS INC,REGULATORY,2021-03-09,0.00040722092220202657,0.8106709629134586,0.02797459677620316,220,-0.4654546517607337,-0.01582154742330645,9,-0.39616759667150336,2,-0.03307896667666924,9,-0.4578715970105626,3
0001193125-21-105632,ACAD,ACADIA PHARMACEUTICALS INC,REGULATORY,2021-04-05,-0.00045187267291778776,0.8377190962887768,0.026896300133737144,220,-0.1839050673308542,-0.0539417116308818,9,-0.20845417402107239,2,-0.009081000730062325,9,-0.2251883459883491,3
0001564590-21-024085,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2021-05-06,-0.0026678875372673277,0.5881622340943291,0.04272873606554281,220,0.07786803134740178,-0.06826520086694053,9,0.08198311819776674,2,0.06072060694104504,9,0.07831947145154709,3
0001564590-21-040825,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2021-08-05,-0.0017569041595271492,0.27305239648068047,0.04243632676487537,220,-0.08548292979138272,-0.07581830072355272,9,-0.0878135678216127,2,-0.15176284489118158,9,-0.11152818412964877,3
0001564590-21-055255,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2021-11-09,-0.003764637277083599,0.1897722352875434,0.04303152271687165,220,0.1065891081456938,0.18537428670634493,9,0.054856828521278184,2,-0.007310834807861802,9,0.035981899120972535,3
0001193125-21-349137,ACAD,ACADIA PHARMACEUTICALS INC,CLINICAL,2021-12-07,-0.00390994110980079,0.18986596154315102,0.04293491739765587,220,0.09895165356075199,0.02742357988889369,9,0.12393488850841852,2,0.05219929463887307,9,0.15806016956871288,3
0001193125-21-362806,ACAD,ACADIA PHARMACEUTICALS INC,REGULATORY,2021-12-21,-0.0036384173485092936,0.17498640041915373,0.044514473589135586,220,-0.20766404088160084,0.32388352929300857,9,-0.0906237652023896,2,0.0005505085397017381,9,-0.03349427861169202,3
0000950170-22-002291,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2022-03-01,-0.0020908863706358455,0.04650446701308973,0.04888268393405379,220,-0.01058140233561503,0.011620010407017949,9,-0.025700222548513917,2,-0.037324125180103175,9,-0.0324606934970097,3
0000950170-22-007402,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2022-05-05,0.0013437601248736952,0.9296232284936435,0.035862443037801034,220,-0.02159537270844812,-0.06566859730317809,9,-0.06784171115056742,2,-0.009161565950959974,9,-0.0934569707765481,3
0000950170-22-015527,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2022-08-09,0.0006754972693657616,0.9384173909030534,0.04670756335136044,220,-0.02101660905520967,0.1020943276591593,9,-0.0457182278048143,2,0.05699395964280618,9,-0.03435527595738476,3
0000950170-22-021222,ACAD,ACADIA PHARMACEUTICALS INC,EARNINGS,2022-11-03,0.0012430962236835957,0.9432558433477097,0.04593087097055017,220,-0.061210256360717044,-0.0343696082869873,9,-0.0861512551473245,2,-0.028411437193662292,9,-0.05930876291415674,3
