cik,name,accession,filing_date,acceptance_et,after_hours,items
0001093557,DEXCOM INC,0001093557-25-000291,2025-12-22,2025-12-22T16:35:12-05:00,True,"5.02,9.01"
0001093557,DEXCOM INC,0001093557-25-000278,2025-10-30,2025-10-30T16:02:39-04:00,True,"2.02,9.01"
0001093557,DEXCOM INC,0001093557-25-000264,2025-10-27,2025-10-27T16:15:56-04:00,True,"5.02,7.01,9.01"
0001093557,DEXCOM INC,0001093557-25-000257,2025-09-16,2025-09-15T19:30:47-04:00,True,5.02
0001093557,DEXCOM INC,0001093557-25-000241,2025-07-30,2025-07-30T16:02:50-04:00,True,"2.02,5.02,9.01"
0001093557,DEXCOM INC,0001093557-25-000159,2025-05-13,2025-05-13T08:31:00-04:00,False,"5.02,9.01"
0001093557,DEXCOM INC,0001093557-25-000129,2025-05-09,2025-05-09T16:10:04-04:00,True,"5.02,5.07,9.01"
0001093557,DEXCOM INC,0001093557-25-000117,2025-05-02,2025-05-02T16:15:07-04:00,True,5.02
0001093557,DEXCOM INC,0001093557-25-000111,2025-05-01,2025-05-01T16:03:07-04:00,True,"2.02,8.01,9.01"
0001093557,DEXCOM INC,0001093557-25-000088,2025-03-25,2025-03-25T16:30:17-04:00,True,"4.01,9.01"
0001093557,DEXCOM INC,0001093557-25-000050,2025-03-10,2025-03-10T08:31:23-04:00,False,"5.02,7.01"
0001093557,DEXCOM INC,0001093557-25-000047,2025-03-07,2025-03-07T16:30:19-05:00,True,"7.01,8.01"
0001093557,DEXCOM INC,0001093557-25-000029,2025-02-13,2025-02-13T16:03:33-05:00,True,"2.02,9.01"
0001093557,DEXCOM INC,0001093557-25-000004,2025-01-13,2025-01-13T07:31:58-05:00,False,"2.02,9.01"
0001093557,DEXCOM INC,0001093557-24-000197,2024-12-23,2024-12-23T16:05:42-05:00,True,1.01
0001093557,DEXCOM INC,0001093557-24-000179,2024-10-24,2024-10-24T16:04:46-04:00,True,"2.02,9.01"
0001093557,DEXCOM INC,0001093557-24-000143,2024-07-25,2024-07-25T16:05:15-04:00,True,"2.02,8.01,9.01"
0001093557,DEXCOM INC,0001093557-24-000101,2024-05-24,2024-05-24T16:12:45-04:00,True,5.07
0001093557,DEXCOM INC,0001093557-24-000078,2024-04-25,2024-04-25T16:05:23-04:00,True,"2.02,9.01"
0001093557,DEXCOM INC,0001093557-24-000024,2024-02-15,2024-02-15T16:15:27-05:00,True,"1.01,1.02,3.02,9.01"
0001093557,DEXCOM INC,0001093557-24-000020,2024-02-08,2024-02-08T16:03:15-05:00,True,"2.02,9.01"
0001093557,DEXCOM INC,0001093557-24-000003,2024-01-08,2024-01-08T08:02:59-05:00,False,"2.02,9.01"
0001093557,DEXCOM INC,0001093557-23-000222,2023-11-02,2023-11-02T16:19:16-04:00,True,8.01
0001093557,DEXCOM INC,0001093557-23-000219,2023-10-26,2023-10-26T16:04:50-04:00,True,"2.02,9.01"
0001093557,DEXCOM INC,0001093557-23-000218,2023-10-26,2023-10-26T16:04:04-04:00,True,8.01
0001093557,DEXCOM INC,0001093557-23-000191,2023-08-28,2023-08-28T08:41:53-04:00,False,"5.02,8.01,9.01"
0001093557,DEXCOM INC,0001093557-23-000173,2023-07-27,2023-07-27T16:05:14-04:00,True,"2.02,9.01"
0001093557,DEXCOM INC,0001093557-23-000157,2023-06-26,2023-06-23T18:04:12-04:00,True,"7.01,9.01"
