accession,cik,name,filing_date,acceptance_et,after_hours,items,label
0001159036-23-000004,0001159036,"HALOZYME THERAPEUTICS, INC.",2023-01-10,2023-01-10T17:16:42-05:00,True,"2.02,7.01,9.01",OTHER
0001159036-22-000002,0001159036,"HALOZYME THERAPEUTICS, INC.",2022-01-10,2022-01-10T08:12:12-05:00,False,"2.02,7.01,9.01",OTHER
0001159036-21-000006,0001159036,"HALOZYME THERAPEUTICS, INC.",2021-01-13,2021-01-13T17:11:52-05:00,True,"2.02,7.01,9.01",PRESENTATION
0000950170-22-005041,0001658247,"Crinetics Pharmaceuticals, Inc.",2022-03-30,2022-03-30T16:05:24-04:00,True,"2.02,7.01,9.01",CLINICAL
0001564590-21-043067,0001658247,"Crinetics Pharmaceuticals, Inc.",2021-08-10,2021-08-10T16:05:52-04:00,True,"2.02,7.01,8.01,9.01",CLINICAL
0001193125-25-164789,0001326110,"ImmunityBio, Inc.",2025-07-25,2025-07-25T06:23:30-04:00,False,"1.01,2.02,7.01,8.01,9.01",OTHER
0001193125-22-302356,0001326110,"ImmunityBio, Inc.",2022-12-12,2022-12-12T09:07:06-05:00,False,"1.01,2.02,2.03,7.01,8.01,9.01",OTHER
0000886163-20-000110,0000886163,LIGAND PHARMACEUTICALS INC,2020-10-20,2020-10-20T10:52:40-04:00,False,"2.02,7.01,9.01",PRESENTATION
0001823239-25-000028,0001823239,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2025-02-25,2025-02-24T20:43:29-05:00,True,"2.02,7.01,9.01",OTHER
0001370053-24-000003,0001370053,"ANAPTYSBIO, INC",2024-01-05,2024-01-05T16:09:38-05:00,True,"2.02,7.01,9.01",PRESENTATION
0001370053-23-000005,0001370053,"ANAPTYSBIO, INC",2023-01-05,2023-01-05T16:12:16-05:00,True,"2.02,7.01,9.01",OTHER
0001370053-22-000064,0001370053,"ANAPTYSBIO, INC",2022-11-08,2022-11-08T16:08:53-05:00,True,"2.02,7.01,9.01",OTHER
0001370053-21-000003,0001370053,"ANAPTYSBIO, INC",2021-01-11,2021-01-11T10:26:48-05:00,False,"2.02,7.01,9.01",PRESENTATION
0001370053-20-000050,0001370053,"ANAPTYSBIO, INC",2020-08-10,2020-08-10T08:06:30-04:00,False,"2.02,7.01,9.01",CLINICAL
0001370053-19-000041,0001370053,"ANAPTYSBIO, INC",2019-11-08,2019-11-08T08:05:42-05:00,False,"2.02,7.01,9.01",CLINICAL
0001193125-21-318435,0001863127,"Tyra Biosciences, Inc.",2021-11-03,2021-11-03T16:16:37-04:00,True,"2.02,7.01,9.01",OTHER
0002007919-24-000031,0002007919,"Inhibrx Biosciences, Inc.",2024-08-13,2024-08-13T16:09:15-04:00,True,"2.02,7.01,9.01",OTHER
0000950170-24-088609,0001350653,"Alphatec Holdings, Inc.",2024-07-31,2024-07-31T16:20:42-04:00,True,"2.02,5.02,7.01,9.01",OTHER
0001193125-23-261657,0001350653,"Alphatec Holdings, Inc.",2023-10-24,2023-10-24T16:05:56-04:00,True,"2.02,7.01,9.01",OTHER
0001564590-21-000928,0001350653,"Alphatec Holdings, Inc.",2021-01-12,2021-01-12T09:15:28-05:00,False,"2.02,7.01,9.01",OTHER
0001564590-20-015828,0001350653,"Alphatec Holdings, Inc.",2020-04-08,2020-04-08T09:00:21-04:00,False,"2.02,2.03,7.01,9.01",OTHER
0001193125-23-187702,0001817713,"Janux Therapeutics, Inc.",2023-07-17,2023-07-17T08:06:01-04:00,False,"2.02,7.01,8.01,9.01",CLINICAL
0000950170-25-105008,0001807120,"Design Therapeutics, Inc.",2025-08-07,2025-08-07T16:08:29-04:00,True,"2.02,7.01",CLINICAL
0001193125-25-273107,0001671858,"ARS Pharmaceuticals, Inc.",2025-11-10,2025-11-10T06:02:51-05:00,False,"2.02,7.01,9.01",OTHER
0000950170-25-107617,0001671858,"ARS Pharmaceuticals, Inc.",2025-08-13,2025-08-13T07:02:11-04:00,False,"2.02,7.01,9.01",OTHER
0001193125-25-005014,0001671858,"ARS Pharmaceuticals, Inc.",2025-01-13,2025-01-13T08:08:13-05:00,False,"2.02,7.01,9.01",OTHER
0001193125-24-061842,0001671858,"ARS Pharmaceuticals, Inc.",2024-03-07,2024-03-07T12:56:52-05:00,False,"2.02,7.01,9.01",PRESENTATION
0001193125-23-036914,0001671858,"ARS Pharmaceuticals, Inc.",2023-02-14,2023-02-14T06:12:16-05:00,False,"2.02,7.01,9.01",PRESENTATION
0001193125-25-270019,0001285550,"ClearPoint Neuro, Inc.",2025-11-06,2025-11-06T16:57:14-05:00,True,"2.02,7.01,9.01",OTHER
0001285550-25-000010,0001285550,"ClearPoint Neuro, Inc.",2025-08-12,2025-08-12T16:05:43-04:00,True,"2.02,7.01,9.01",OTHER
0000950170-25-070346,0001285550,"ClearPoint Neuro, Inc.",2025-05-13,2025-05-13T16:10:39-04:00,True,"2.02,7.01,9.01",OTHER
0000950170-25-027716,0001285550,"ClearPoint Neuro, Inc.",2025-02-26,2025-02-26T16:05:29-05:00,True,"2.02,7.01,9.01",OTHER
0001285550-24-000120,0001285550,"ClearPoint Neuro, Inc.",2024-11-07,2024-11-07T16:07:25-05:00,True,"2.02,7.01,9.01",OTHER
0001285550-24-000097,0001285550,"ClearPoint Neuro, Inc.",2024-08-07,2024-08-07T16:05:59-04:00,True,"2.02,7.01,9.01",OTHER
0001285550-24-000049,0001285550,"ClearPoint Neuro, Inc.",2024-05-07,2024-05-07T16:05:59-04:00,True,"2.02,7.01,9.01",OTHER
0001285550-24-000030,0001285550,"ClearPoint Neuro, Inc.",2024-03-12,2024-03-12T16:05:31-04:00,True,"2.02,7.01,9.01",OTHER
0001285550-24-000016,0001285550,"ClearPoint Neuro, Inc.",2024-01-08,2024-01-08T16:07:25-05:00,True,"2.02,7.01,9.01",OTHER
0001285550-23-000114,0001285550,"ClearPoint Neuro, Inc.",2023-11-09,2023-11-09T16:05:50-05:00,True,"2.02,7.01,9.01",OTHER
