accession,cik,name,filing_date,acceptance_et,after_hours,items,label
0001093557-25-000264,0001093557,DEXCOM INC,2025-10-27,2025-10-27T16:15:56-04:00,True,"5.02,7.01,9.01",OTHER
0001093557-25-000050,0001093557,DEXCOM INC,2025-03-10,2025-03-10T08:31:23-04:00,False,"5.02,7.01",OTHER
0001093557-25-000047,0001093557,DEXCOM INC,2025-03-07,2025-03-07T16:30:19-05:00,True,"7.01,8.01",REGULATORY
0001093557-23-000157,0001093557,DEXCOM INC,2023-06-26,2023-06-23T18:04:12-04:00,True,"7.01,9.01",PRESENTATION
0001193125-22-173521,0000943819,RESMED INC,2022-06-14,2022-06-14T09:07:06-04:00,False,"1.01,7.01,9.01",OTHER
0001110803-25-000032,0001110803,"ILLUMINA, INC.",2025-03-25,2025-03-25T16:15:56-04:00,True,"5.02,7.01,9.01",OTHER
0001110803-25-000025,0001110803,"ILLUMINA, INC.",2025-03-10,2025-03-10T16:47:17-04:00,True,"7.01,9.01",OTHER
0001110803-24-000013,0001110803,"ILLUMINA, INC.",2024-04-12,2024-04-12T09:01:14-04:00,False,7.01,REGULATORY
0000950157-24-000591,0001110803,"ILLUMINA, INC.",2024-04-09,2024-04-09T16:15:49-04:00,True,"5.02,7.01,9.01",OTHER
0001193125-22-284674,0001110803,"ILLUMINA, INC.",2022-11-14,2022-11-14T16:32:29-05:00,True,7.01,OTHER
0001193125-22-258375,0001110803,"ILLUMINA, INC.",2022-10-06,2022-10-05T19:45:33-04:00,True,7.01,OTHER
0001110803-20-000005,0001110803,"ILLUMINA, INC.",2020-01-02,2020-01-02T16:07:45-05:00,True,"1.01,1.02,7.01,9.01",OTHER
0000914475-25-000081,0000914475,NEUROCRINE BIOSCIENCES INC,2025-04-04,2025-04-04T08:02:40-04:00,False,"5.02,7.01,9.01",OTHER
0000914475-25-000006,0000914475,NEUROCRINE BIOSCIENCES INC,2025-01-27,2025-01-27T16:12:01-05:00,True,"1.01,7.01,9.01",OTHER
0000914475-24-000199,0000914475,NEUROCRINE BIOSCIENCES INC,2024-08-28,2024-08-28T07:00:59-04:00,False,"7.01,8.01,9.01",CLINICAL
0000914475-22-000050,0000914475,NEUROCRINE BIOSCIENCES INC,2022-08-30,2022-08-30T08:01:13-04:00,False,7.01,OTHER
0000914475-20-000029,0000914475,NEUROCRINE BIOSCIENCES INC,2020-09-10,2020-09-10T08:30:42-04:00,False,"7.01,9.01",PRESENTATION
0001193125-19-121779,0000914475,NEUROCRINE BIOSCIENCES INC,2019-04-26,2019-04-26T13:45:55-04:00,False,7.01,OTHER
0001159036-25-000039,0001159036,"HALOZYME THERAPEUTICS, INC.",2025-10-14,2025-10-14T06:45:15-04:00,False,"7.01,9.01",OTHER
0001193125-25-225853,0001159036,"HALOZYME THERAPEUTICS, INC.",2025-10-01,2025-10-01T07:06:21-04:00,False,"7.01,9.01",OTHER
0001159036-23-000020,0001159036,"HALOZYME THERAPEUTICS, INC.",2023-03-16,2023-03-15T18:28:28-04:00,True,"7.01,9.01",OTHER
0001193125-22-158531,0001159036,"HALOZYME THERAPEUTICS, INC.",2022-05-24,2022-05-24T16:16:56-04:00,True,"1.01,2.01,2.03,7.01,9.01",OTHER
0001193125-22-104452,0001159036,"HALOZYME THERAPEUTICS, INC.",2022-04-13,2022-04-13T17:18:14-04:00,True,"1.01,7.01,9.01",OTHER
0001159036-20-000004,0001159036,"HALOZYME THERAPEUTICS, INC.",2020-01-16,2020-01-16T16:25:33-05:00,True,"7.01,9.01",PRESENTATION
0001159036-19-000046,0001159036,"HALOZYME THERAPEUTICS, INC.",2019-09-04,2019-09-04T11:20:23-04:00,False,"7.01,9.01",PRESENTATION
0001159036-19-000002,0001159036,"HALOZYME THERAPEUTICS, INC.",2019-01-09,2019-01-09T17:04:14-05:00,True,"7.01,9.01",PRESENTATION
