accession,llm_label
0001093557-25-000264,OTHER
0001093557-25-000050,OTHER
0001093557-25-000047,REGULATORY
0001093557-23-000157,PRESENTATION
0001193125-22-173521,OTHER
0001110803-25-000032,OTHER
0001110803-25-000025,OTHER
0001110803-24-000013,REGULATORY
0000950157-24-000591,OTHER
0001193125-22-284674,OTHER
0001193125-22-258375,OTHER
0001110803-20-000005,OTHER
0000914475-25-000081,OTHER
0000914475-25-000006,OTHER
0000914475-24-000199,CLINICAL
0000914475-22-000050,OTHER
0000914475-20-000029,PRESENTATION
0001193125-19-121779,OTHER
0001159036-25-000039,OTHER
0001193125-25-225853,OTHER
0001159036-23-000020,OTHER
0001159036-23-000004,OTHER
0001193125-22-158531,OTHER
0001193125-22-104452,OTHER
0001159036-22-000002,OTHER
0001159036-21-000006,PRESENTATION
0001159036-20-000004,PRESENTATION
0001159036-19-000046,PRESENTATION
0001159036-19-000002,PRESENTATION
0001140361-25-041225,CLINICAL
0001140361-25-035634,CLINICAL
0001140361-25-033541,CLINICAL
0001140361-25-032176,REGULATORY
0001658247-25-000008,REGULATORY
0000950170-25-091613,PRESENTATION
0000950170-25-090405,PRESENTATION
0000950170-25-025248,OTHER
0000950170-25-005435,PRESENTATION
0000950170-25-003801,CLINICAL
0000950170-24-136680,OTHER
0001193125-24-153075,CLINICAL
0001193125-24-144484,CLINICAL
0000950170-24-055872,PRESENTATION
0001193125-24-070706,CLINICAL
0001193125-24-065913,CLINICAL
0001193125-24-003929,PRESENTATION
0000950170-23-071084,CLINICAL
0001193125-23-231899,CLINICAL
0000950170-23-000460,PRESENTATION
0000950170-22-010602,PRESENTATION
0000950170-22-005041,CLINICAL
0001564590-21-048031,CLINICAL
0001564590-21-043067,CLINICAL
0001564590-20-047499,CLINICAL
0001193125-20-099551,CLINICAL
0001193125-25-164789,OTHER
0001193125-25-075102,OTHER
0001326110-24-000040,REGULATORY
0001193125-22-302356,OTHER
0001193125-22-285314,PRESENTATION
0001193125-22-042967,OTHER
0001193125-22-007333,OTHER
0001193125-21-361818,OTHER
0001193125-21-182190,PRESENTATION
0001193125-21-084244,PRESENTATION
0001193125-21-075243,OTHER
0001193125-21-007807,PRESENTATION
0000950170-25-004613,PRESENTATION
0001193125-24-080630,OTHER
0000950170-24-003199,PRESENTATION
0001193125-23-004264,PRESENTATION
0001193125-25-324830,OTHER
0000886163-25-000042,OTHER
0000886163-25-000020,OTHER
0000886163-25-000003,OTHER
0000886163-24-000053,OTHER
0000886163-22-000097,OTHER
0001104659-22-072614,PRESENTATION
