accession,name,filing_date,my_label,llm_label,text_source
0001096906-22-002280,"AXIM BIOTECHNOLOGIES, INC.",2022-09-19,Others,OTHER,exhibit
0001683168-24-005697,AETHLON MEDICAL INC,2024-08-14,Others,"OTHER

This filing is primarily an earnings announcement with",exhibit
0001564590-21-005752,"Equillium, Inc.",2021-02-12,Others,CLINICAL,exhibit
0001104659-24-071445,Zura Bio Ltd,2024-06-14,Clinical,CLINICAL,exhibit
0001493152-22-017652,"Dare Bioscience, Inc.",2022-06-24,Others,OTHER,exhibit
0001019056-21-000508,"Modular Medical, Inc.",2021-09-30,Presentation,PRESENTATION,exhibit
0001493152-23-046056,"Dare Bioscience, Inc.",2023-12-26,Others,OTHER,exhibit
0001370053-19-000035,"ANAPTYSBIO, INC",2019-09-30,Clinical,CLINICAL,primary_item
0001104659-25-064427,Zura Bio Ltd,2025-07-01,Others,OTHER,exhibit
0001564590-21-001687,"HERON THERAPEUTICS, INC. /DE/",2021-01-21,Clinical,CLINICAL,primary_item
0001725160-24-000177,"Zentalis Pharmaceuticals, Inc.",2024-11-13,Others,OTHER,primary_item
0000950170-24-062739,"Lite Strategy, Inc.",2024-05-21,Others,PRESENTATION,exhibit
0001618835-22-000128,"Evofem Biosciences, Inc.",2022-05-26,Presentation,PRESENTATION,primary_item
0001493152-23-037290,"Dare Bioscience, Inc.",2023-10-16,Others,"OTHER

The filing announces a commercial milestone payment triggered",exhibit
0001193125-21-182190,"ImmunityBio, Inc.",2021-06-04,Others,PRESENTATION,exhibit
0001618835-22-000112,"Evofem Biosciences, Inc.",2022-05-12,Presentation,PRESENTATION,primary_item
0001493152-24-028818,"Evofem Biosciences, Inc.",2024-07-23,Others,OTHER,exhibit
0001193125-22-042967,"ImmunityBio, Inc.",2022-02-15,Others,OTHER,exhibit
0001618835-21-000049,"Evofem Biosciences, Inc.",2021-03-08,Others,OTHER,primary_item
0001140361-25-000292,"GYRE THERAPEUTICS, INC.",2025-01-06,Others,OTHER,exhibit
0001725160-24-000161,"Zentalis Pharmaceuticals, Inc.",2024-09-16,Others,REGULATORY,primary_item
0001193125-24-135721,"ARS Pharmaceuticals, Inc.",2024-05-10,Presentation,PRESENTATION,exhibit
0001193125-24-148112,"ImageneBio, Inc.",2024-05-28,Others,OTHER,exhibit
0001564590-19-018969,"Gossamer Bio, Inc.",2019-05-14,Others,OTHER,exhibit
0001411690-25-000008,"Bionano Genomics, Inc.",2025-01-27,Others,OTHER,primary_item
0000950170-22-001894,"PALISADE BIO, INC.",2022-02-24,Presentation,PRESENTATION,exhibit
0000950170-22-012381,FATE THERAPEUTICS INC,2022-06-30,Others,OTHER,exhibit
0001159036-22-000002,"HALOZYME THERAPEUTICS, INC.",2022-01-10,Others,OTHER,exhibit
0001564590-20-047499,"Crinetics Pharmaceuticals, Inc.",2020-10-26,Clinical,CLINICAL,exhibit
0001516551-23-000046,"Skye Bioscience, Inc.",2023-08-21,Others,OTHER,exhibit
0001683168-25-006360,AETHLON MEDICAL INC,2025-08-21,Presentation,PRESENTATION,primary_item
0001493152-23-038596,"Calidi Biotherapeutics, Inc.",2023-10-30,Others,"OTHER

This filing concerns a personnel change (hiring",primary_item
0001213900-20-000519,"Ensysce Biosciences, Inc.",2020-01-08,Others,"OTHER

This filing concerns a conference call between",exhibit
0001558370-24-013207,"CAPRICOR THERAPEUTICS, INC.",2024-10-09,Regulatory,REGULATORY,exhibit
0001654954-23-014015,"Dermata Therapeutics, Inc.",2023-11-09,Others,REGULATORY,exhibit
