row,accession,name,filing_date,headline,my_label
1,0001096906-22-002280,"AXIM BIOTECHNOLOGIES, INC.",2022-09-19,"EX-99.1 3 axim_ex99z1.htm PRESS RELEASE Ex. 99.1 AXIM ® Biotechnologies Signs Commercialization Agreement W ith Leading Healthcare Solutions Company for Global Distribution , Sales of Ophthalmic Diagnostics Solutions Company to Sell, Distribute AXIM’",Others
2,0001683168-24-005697,AETHLON MEDICAL INC,2024-08-14,"Aethlon Medical Announces Financial Results for the Fiscal First Quarter Ended June 30, 2024 and Provides Corporate Update Received Two Australian Ethics Committee Approvals for a Safety, Feasibility, and Dose Finding Study of Aethlon’s Hemopurifier®",Others
3,0001564590-21-005752,"Equillium, Inc.",2021-02-12,"John Koreth, Alison W. Loren, Ryotaro Nakamura, Marco Mielcarek, Trent Wang, George L. Chen, Sarah Anand, Joseph A. Pidala, Edmund K. Waller, Gabrielle Meyers, Daanish Hoda, Mark Schroeder, Jeremy Pantin, Nosha Farhadfar, Cherie Ng, Lisette M. Aceved",Others
4,0001104659-24-071445,Zura Bio Ltd,2024-06-14,Exhibit 99.1 Zura Bio Presents Data for the Tibulizumab (ZB-106) Program at EULAR 2024 Tibulizumab (ZB-106) was well tolerated and neutralized IL-17A and BAFF in a Phase 1 study in patients with Sjogren’s syndrome Preclinical data demonstrating the p,Clinical
5,0001493152-22-017652,"Dare Bioscience, Inc.",2022-06-24,"Daré Bioscience Announces Partial Adjournment of Annual Meeting of Stockholders to July 14, 2022 Meeting to be reconvened solely with respect to Proposal 5 SAN DIEGO, June 24, 2022 (GLOBE NEWSWIRE) – Daré Bioscience, Inc. (NASDAQ: DARE), a leader in ",Others
6,0001019056-21-000508,"Modular Medical, Inc.",2021-09-30,"Exhibit 99.1 Investor Presentation. OTCQB:MODD Forward Looking Statements, Other Disclaimers. THIS SUMMARY IS PROVIDED ON A CONFIDENTIAL AND LIMITED BASIS, SOLELY FOR YOUR USE AS A PART OF YOUR DETERMINATION OF WHETHER TO INVEST IN THE OPPORTUNITY. T",Presentation
7,0001493152-23-046056,"Dare Bioscience, Inc.",2023-12-26,"Daré Bioscience Secures $12 million in Royalty-backed Investment Structure $5 million at closing and up to $7 million of additional committed funding SAN DIEGO, December, 26, 2023 – Daré Bioscience, Inc. (NASDAQ: DARE), a leader in women’s health inn",Others
8,0001370053-19-000035,"ANAPTYSBIO, INC",2019-09-30,"Regulation FD. On September 30, 2019, AnaptysBio, Inc. (“AnaptysBio”) issued a press release announcing topline data from an interim analysis of AnaptysBio’s ongoing ANB019 Phase 2 trial in generalized pustular psoriasis (GPP). A copy of the press re",Clinical
9,0001104659-25-064427,Zura Bio Ltd,2025-07-01,"Exhibit 99.1 Zura Bio Announces Chief Financial Officer Transition HENDERSON, NV - (BUSINESS WIRE) – July 1, 2025 - Zura Bio Limited (Nasdaq: ZURA) (“Zura Bio”), a clinical-stage, multi-asset immunology company developing novel dual-pathway antibodie",Others
10,0001564590-21-001687,"HERON THERAPEUTICS, INC. /DE/",2021-01-21,"Regulation FD Disclosure. On January 21, 2021, Heron Therapeutics, Inc. issued a press release announcing that the results from an EPOCH 1 follow-on study (NCT03718039) of the investigational agent HTX-011 in bunionectomy, have been published online,",Clinical
