cik,ticker,name,sic,sic_desc,city,state,zip
0000804328,QCOM,QUALCOMM INC/DE,3663,Radio & Tv Broadcasting & Communications Equipment,SAN DIEGO,CA,92121
0000726728,O,REALTY INCOME CORP,6798,Real Estate Investment Trusts,SAN DIEGO,CA,92130
0001032208,SRE,SEMPRA,4932,Gas & Other Services Combined,SAN DIEGO,CA,92101
0001093557,DXCM,DEXCOM INC,3841,Surgical & Medical Instruments & Apparatus,SAN DIEGO,CA,92121
0000943819,RMD,RESMED INC,3841,Surgical & Medical Instruments & Apparatus,SAN DIEGO,CA,92123
0001110803,ILMN,"ILLUMINA, INC.",3826,Laboratory Analytical Instruments,SAN DIEGO,CA,92122
0001397911,LPLA,LPL Financial Holdings Inc.,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",SAN DIEGO,CA,92121
0000914475,NBIX,NEUROCRINE BIOSCIENCES INC,2836,"Biological Products, (No Diagnostic Substances)",SAN DIEGO,CA,92130
0001159036,HALO,"HALOZYME THERAPEUTICS, INC.",2836,"Biological Products, (No Diagnostic Substances)",SAN DIEGO,CA,92130
0001069258,KTOS,"KRATOS DEFENSE & SECURITY SOLUTIONS, INC.",3760,Guided Missiles & Space Vehicles & Parts,SAN DIEGO,CA,92131
0000797721,VSAT,VIASAT INC,4899,"Communications Services, NEC",CARLSBAD,CA,92009
0000874015,IONS,IONIS PHARMACEUTICALS INC,2834,Pharmaceutical Preparations,CARLSBAD,CA,92010
0001658247,CRNX,"Crinetics Pharmaceuticals, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0001326110,IBRX,"ImmunityBio, Inc.",2836,"Biological Products, (No Diagnostic Substances)",SAN DIEGO,CA,92121
0001889109,BLTE,"BELITE BIO, INC",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92130
0001438533,TVTX,"Travere Therapeutics, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92130
0001761918,ERAS,"Erasca, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0001288469,MXL,"MAXLINEAR, INC",3674,Semiconductors & Related Devices,CARLSBAD,CA,92008
0002065636,MWH,"SOLV Energy, Inc.",1600,Heavy Construction Other Than Bldg Const - Contractors,SAN DIEGO,CA,92127
0000886163,LGND,LIGAND PHARMACEUTICALS INC,2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0001041803,PSMT,PRICESMART INC,5331,Retail-Variety Stores,SAN DIEGO,CA,92123
0001070494,ACAD,ACADIA PHARMACEUTICALS INC,2834,Pharmaceutical Preparations,SAN DIEGO,CA,92130
0001607678,VKTX,"Viking Therapeutics, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,
0001761312,PLMR,"Palomar Holdings, Inc.",6331,"Fire, Marine & Casualty Insurance",LA JOLLA,CA,92037
