cik,ticker,name,sic,sic_desc,city,state,zip
0001093557,DXCM,DEXCOM INC,3841,Surgical & Medical Instruments & Apparatus,SAN DIEGO,CA,92121
0000943819,RMD,RESMED INC,3841,Surgical & Medical Instruments & Apparatus,SAN DIEGO,CA,92123
0001110803,ILMN,"ILLUMINA, INC.",3826,Laboratory Analytical Instruments,SAN DIEGO,CA,92122
0000914475,NBIX,NEUROCRINE BIOSCIENCES INC,2836,"Biological Products, (No Diagnostic Substances)",SAN DIEGO,CA,92130
0001159036,HALO,"HALOZYME THERAPEUTICS, INC.",2836,"Biological Products, (No Diagnostic Substances)",SAN DIEGO,CA,92130
0000874015,IONS,IONIS PHARMACEUTICALS INC,2834,Pharmaceutical Preparations,CARLSBAD,CA,92010
0001658247,CRNX,"Crinetics Pharmaceuticals, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0001326110,IBRX,"ImmunityBio, Inc.",2836,"Biological Products, (No Diagnostic Substances)",SAN DIEGO,CA,92121
0001889109,BLTE,"BELITE BIO, INC",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92130
0001438533,TVTX,"Travere Therapeutics, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92130
0001761918,ERAS,"Erasca, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0000886163,LGND,LIGAND PHARMACEUTICALS INC,2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0001070494,ACAD,ACADIA PHARMACEUTICALS INC,2834,Pharmaceutical Preparations,SAN DIEGO,CA,92130
0001607678,VKTX,"Viking Therapeutics, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,
0001823239,MRVI,"MARAVAI LIFESCIENCES HOLDINGS, INC.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0001370053,ANAB,"ANAPTYSBIO, INC",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0001438133,TNDM,TANDEM DIABETES CARE INC,3841,Surgical & Medical Instruments & Apparatus,San Diego,CA,92130
0001863127,TYRA,"Tyra Biosciences, Inc.",2834,Pharmaceutical Preparations,CARLSBAD,CA,92008
0002091349,TRAX,"First Tracks Biotherapeutics, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0002007919,INBX,"Inhibrx Biosciences, Inc.",2836,"Biological Products, (No Diagnostic Substances)",LA JOLLA,CA,92037
0001350653,ATEC,"Alphatec Holdings, Inc.",3841,Surgical & Medical Instruments & Apparatus,CARLSBAD,CA,
0001817713,JANX,"Janux Therapeutics, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92130
0001422143,KURA,"Kura Oncology, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0001906324,QDEL,QuidelOrtho Corp,2835,In Vitro & In Vivo Diagnostic Substances,SAN DIEGO,CA,92121
0001807120,DSGN,"Design Therapeutics, Inc.",2834,Pharmaceutical Preparations,CARLSBAD,CA,92011
0001124105,GYRE,"GYRE THERAPEUTICS, INC.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92130
0001855175,CTNM,"Contineum Therapeutics, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0001671858,SPRY,"ARS Pharmaceuticals, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92130
0001855644,ZURA,Zura Bio Ltd,2836,"Biological Products, (No Diagnostic Substances)",LA JOLLA,CA,92037
0001817241,ARTV,"Artiva Biotherapeutics, Inc.",2836,"Biological Products, (No Diagnostic Substances)",SAN DIEGO,CA,92121
0001285550,CLPT,"ClearPoint Neuro, Inc.",3841,Surgical & Medical Instruments & Apparatus,SOLANA BEACH,CA,92075
0001839970,BLSM,"BlossomHill Therapeutics, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,
0001794546,CARL,"CARLSMED, INC.",3841,Surgical & Medical Instruments & Apparatus,CARLSBAD,CA,92008
0001133869,CAPR,"CAPRICOR THERAPEUTICS, INC.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0001725160,ZNTL,"Zentalis Pharmaceuticals, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0001357459,PALI,"PALISADE BIO, INC.",2836,"Biological Products, (No Diagnostic Substances)",CARLSBAD,CA,92009
0001768224,ARCT,Arcturus Therapeutics Holdings Inc.,2834,Pharmaceutical Preparations,SAN DIEGO,CA,
0001434316,FATE,FATE THERAPEUTICS INC,2836,"Biological Products, (No Diagnostic Substances)",SAN DIEGO,CA,92131
0000876343,LCTX,"Lineage Cell Therapeutics, Inc.",2836,"Biological Products, (No Diagnostic Substances)",CARLSBAD,CA,92008
0002093101,RNA,"Atrium Therapeutics, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0001274737,XGN,EXAGEN INC.,8071,Services-Medical Laboratories,VISTA,CA,92081
0001835268,CNTB,Connect Biopharma Holdings Ltd,2834,Pharmaceutical Preparations,SAN DIEGO,CA,92130
0001815776,LENZ,"LENZ Therapeutics, Inc.",2836,"Biological Products, (No Diagnostic Substances)",SOLANA BEACH,CA,92075
0001746466,EQ,"Equillium, Inc.",2834,Pharmaceutical Preparations,LA JOLLA,CA,92037
0001774857,AARD,"Aardvark Therapeutics, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92122
0001129928,ONCY,ONCOLYTICS BIOTECH INC,2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0001728117,GOSS,"Gossamer Bio, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0001213037,CRDF,"Cardiff Oncology, Inc.",2836,"Biological Products, (No Diagnostic Substances)",SAN DIEGO,CA,92121
0001226616,MNOV,MEDICINOVA INC,2834,Pharmaceutical Preparations,LA JOLLA,CA,92037
0001782303,BOLD,"Boundless Bio, Inc.",2834,Pharmaceutical Preparations,LA JOLLA,CA,92037
0001835579,IMA,"ImageneBio, Inc.",2836,"Biological Products, (No Diagnostic Substances)",SAN DIEGO,CA,92130
0000818033,HRTX,"HERON THERAPEUTICS, INC. /DE/",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0001339970,ATYR,aTYR PHARMA INC,2836,"Biological Products, (No Diagnostic Substances)",SAN DIEGO,CA,92121
0001262104,LITS,"Lite Strategy, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92121
0001534133,CALC,"CalciMedica, Inc.",2834,Pharmaceutical Preparations,LA JOLLA,CA,92037
0001074871,MODD,"Modular Medical, Inc.",3841,Surgical & Medical Instruments & Apparatus,SAN DIEGO,CA,92127
0001401914,DARE,"Dare Bioscience, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92122
0001411690,BNGO,"Bionano Genomics, Inc.",3826,Laboratory Analytical Instruments,SAN DIEGO,CA,92121
0001372514,KPRX,KIORA PHARMACEUTICALS INC,2834,Pharmaceutical Preparations,ENCINITAS,CA,92024
0001516551,SKYE,"Skye Bioscience, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92130
0001716947,ENSC,"Ensysce Biosciences, Inc.",2834,Pharmaceutical Preparations,LA JOLLA,CA,92037
0001853816,DRMA,"Dermata Therapeutics, Inc.",2834,Pharmaceutical Preparations,SAN DIEGO,CA,92130
0001826892,BCAB,"BioAtla, Inc.",2836,"Biological Products, (No Diagnostic Substances)",SAN DIEGO,CA,92121
